ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_cars,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,saleprice
60,RL,75.0,10000,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,763.0,GasA,Gd,Y,SBrkr,1655,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,1993.0,2.0,Y,157,84,0,0,0,0,,,,0,4,2010,WD ,Normal,175900
20,RL,64.0,7980,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,1168.0,GasA,Ex,Y,SBrkr,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,,1992.0,2.0,Y,483,21,0,0,0,0,,GdPrv,Shed,500,3,2010,WD ,Normal,185000
60,RL,63.0,8402,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,789.0,GasA,Gd,Y,SBrkr,1465,0.0,0.0,2,1,3,1,TA,7,Typ,1,Gd,1998.0,2.0,Y,0,75,0,0,0,0,,,,0,5,2010,WD ,Normal,180400
20,RL,85.0,10176,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,1300.0,GasA,Gd,Y,SBrkr,1341,1.0,0.0,1,1,2,1,Gd,5,Typ,1,Po,1990.0,2.0,Y,192,0,0,0,0,0,,,,0,2,2010,WD ,Normal,171500
120,RL,60.0,6820,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,BLQ,1488.0,GasA,TA,Y,SBrkr,1502,1.0,0.0,1,1,1,1,Gd,4,Typ,0,,1985.0,2.0,Y,0,54,0,0,140,0,,,,0,6,2010,WD ,Normal,212000
60,RL,47.0,53504,Pave,No Alley,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,603.0,Ex,TA,PConc,Gd,TA,Gd,ALQ,Unf,1650.0,GasA,Ex,Y,SBrkr,3279,1.0,0.0,3,1,4,1,Ex,12,Mod,1,Gd,2003.0,3.0,Y,503,36,0,0,210,0,,,,0,6,2010,WD ,Normal,538000
50,RL,152.0,12134,Pave,No Alley,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,Gd,TA,Wood,Gd,TA,Av,GLQ,Unf,559.0,GasA,Gd,Y,SBrkr,1752,0.0,0.0,2,0,4,1,TA,8,Typ,0,,1988.0,2.0,Y,325,12,0,0,0,0,,,,0,6,2010,WD ,Normal,164000
20,RL,88.0,11394,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,1856.0,GasA,Ex,Y,SBrkr,1856,1.0,0.0,1,1,1,1,Ex,8,Typ,1,Ex,2010.0,3.0,Y,113,0,0,0,0,0,,,,0,6,2010,New,Partial,394432
20,RL,140.0,19138,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,864.0,GasA,Ex,Y,SBrkr,864,0.0,0.0,1,0,2,1,TA,4,Typ,0,,1951.0,2.0,Y,0,0,0,0,0,0,,,,0,6,2010,WD ,Normal,141000
20,RL,85.0,13175,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,Rec,1542.0,GasA,TA,Y,SBrkr,2073,1.0,0.0,2,0,3,1,TA,7,Min1,2,TA,1978.0,2.0,Y,349,0,0,0,0,0,,MnPrv,,0,2,2010,WD ,Normal,210000
20,RL,105.0,11751,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1844.0,GasA,Ex,Y,SBrkr,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,1977.0,2.0,Y,0,122,0,0,0,0,,MnPrv,,0,1,2010,COD,Normal,190000
85,RL,85.0,10625,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,81.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,LwQ,1053.0,GasA,TA,Y,SBrkr,1173,1.0,0.0,2,0,3,1,Gd,6,Typ,2,TA,1974.0,2.0,Y,0,120,0,0,0,0,,MnPrv,,0,1,2010,WD ,Family,170000
60,FV,72.5,7500,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,814.0,GasA,Ex,Y,SBrkr,1674,1.0,0.0,2,1,3,1,Gd,7,Typ,0,,2000.0,2.0,Y,0,96,0,0,0,0,,,,0,1,2010,WD ,Normal,216000
20,RL,73.0,11241,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1004.0,GasA,Ex,Y,SBrkr,1004,1.0,0.0,1,0,2,1,TA,5,Typ,1,TA,1970.0,2.0,Y,0,0,0,0,0,0,,,Shed,700,3,2010,WD ,Normal,149000
20,RL,73.0,12537,Pave,No Alley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,GLQ,Unf,1078.0,GasA,Ex,Y,SBrkr,1078,1.0,0.0,1,1,3,1,TA,6,Typ,1,Fa,1971.0,2.0,Y,0,0,0,0,0,0,,,,0,4,2010,WD ,Normal,149900
20,RL,65.0,8450,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1056.0,GasA,Ex,Y,SBrkr,1056,1.0,0.0,1,0,3,1,TA,6,Typ,1,Fa,1968.0,1.0,Y,0,85,184,0,0,0,,,,0,7,2010,WD ,Normal,142000
20,RL,70.0,8400,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Rec,882.0,GasA,TA,Y,SBrkr,882,1.0,0.0,1,0,2,1,TA,4,Typ,0,,1970.0,2.0,Y,240,0,0,0,0,0,,MnPrv,,0,4,2010,WD ,Normal,126000
20,RL,70.0,10500,Pave,No Alley,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,864.0,GasA,TA,Y,SBrkr,864,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,0.0,0.0,Y,0,0,0,0,0,0,,,,0,4,2010,ConLI,Normal,115000
120,RH,26.0,5858,Pave,No Alley,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,BLQ,1405.0,GasA,Ex,Y,SBrkr,1337,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Fa,1999.0,2.0,Y,203,68,0,0,0,0,,,,0,6,2010,WD ,Normal,184000
160,RM,21.0,1680,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,504.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,483.0,GasA,TA,Y,SBrkr,987,0.0,0.0,1,1,2,1,TA,5,Typ,0,,1971.0,1.0,Y,275,0,0,0,0,0,,,,0,2,2010,COD,Normal,96000
160,RM,21.0,1680,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,492.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,525.0,GasA,TA,Y,SBrkr,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,,1997.0,1.0,Y,0,0,0,0,0,0,,,,0,3,2010,WD ,Normal,105500
160,RM,21.0,1680,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,381.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,525.0,GasA,TA,Y,SBrkr,1092,0.0,0.0,1,1,3,1,TA,6,Typ,0,,1971.0,1.0,Y,0,0,0,0,0,0,,,,0,3,2010,WD ,Family,88000
120,RL,53.0,4043,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,1069.0,GasA,TA,Y,SBrkr,1069,0.0,0.0,2,0,2,1,TA,4,Typ,1,Fa,1977.0,2.0,Y,0,55,0,0,165,0,,,,0,7,2010,WD ,Normal,127500
160,RL,24.0,2280,Pave,No Alley,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,855.0,GasA,TA,Y,SBrkr,1456,0.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,1975.0,2.0,Y,173,0,0,0,0,0,,,,0,6,2010,WD ,Normal,149900
120,RL,24.0,2280,Pave,No Alley,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,0.0,TA,TA,CBlock,Gd,TA,No,Unf,Unf,836.0,GasA,Ex,Y,SBrkr,836,0.0,0.0,1,0,2,1,TA,4,Typ,0,,1975.0,1.0,Y,0,30,0,0,0,0,,,,0,6,2010,WD ,Normal,120000
160,RL,24.0,2280,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,855.0,GasA,Fa,Y,SBrkr,1456,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,1978.0,2.0,Y,26,0,0,0,0,0,,,,0,7,2010,WD ,Normal,146000
60,RL,102.0,12858,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,162.0,Ex,TA,PConc,Ex,TA,No,Unf,Unf,1590.0,GasA,Ex,Y,SBrkr,2334,0.0,0.0,2,1,3,1,Ex,10,Typ,1,Gd,2009.0,3.0,Y,144,133,0,0,0,0,,,,0,1,2010,New,Partial,376162
20,RL,98.0,11478,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1704.0,GasA,Ex,Y,SBrkr,1704,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,2008.0,3.0,Y,0,50,0,0,0,0,,,,0,5,2010,WD ,Normal,306000
20,RL,83.0,10159,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,450.0,Ex,TA,PConc,Ex,TA,Av,GLQ,Unf,1930.0,GasA,Ex,Y,SBrkr,1940,1.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,2010.0,3.0,Y,168,95,0,0,0,0,,,,0,4,2010,New,Partial,395192
20,RL,94.0,12883,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,256.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1544.0,GasA,Ex,Y,SBrkr,1544,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,2009.0,3.0,Y,0,35,0,0,0,0,,,,0,6,2010,New,Partial,290941
20,RL,95.0,12182,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,226.0,Gd,TA,PConc,Gd,TA,Mn,BLQ,Unf,1541.0,GasA,Ex,Y,SBrkr,1541,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,2005.0,2.0,Y,0,70,0,0,0,0,,,,0,5,2010,New,Partial,220000
20,RL,90.0,11520,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1698.0,GasA,Ex,Y,SBrkr,1698,0.0,0.0,2,0,3,1,Ex,7,Typ,1,Gd,2005.0,3.0,Y,192,74,0,0,0,0,,,,0,6,2010,WD ,Normal,275000
20,RL,79.0,14122,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1822.0,GasA,Ex,Y,SBrkr,1822,0.0,0.0,2,0,3,1,Ex,8,Typ,1,Gd,2005.0,3.0,Y,0,119,0,0,0,0,,,,0,2,2010,WD ,Normal,259000
20,RL,70.0,10171,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,168.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1517.0,GasA,Ex,Y,SBrkr,1535,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,2004.0,2.0,Y,0,0,0,0,0,0,,,,0,3,2010,WD ,Normal,214000
20,RL,100.0,12919,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,760.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,2330.0,GasA,Ex,Y,SBrkr,2364,1.0,0.0,2,1,2,1,Ex,11,Typ,2,Gd,2009.0,3.0,Y,0,67,0,0,0,0,,,,0,3,2010,New,Partial,611657
120,RL,44.0,6371,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,128.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1358.0,GasA,Ex,Y,SBrkr,1358,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,2010.0,2.0,Y,192,35,0,0,0,0,,,,0,6,2010,New,Partial,224000
20,RL,110.0,14300,Pave,No Alley,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,2846.0,GasA,Ex,Y,SBrkr,2696,1.0,0.0,2,1,3,1,Ex,10,Typ,2,Gd,2003.0,3.0,Y,220,150,0,0,0,0,,,,0,6,2010,WD ,Normal,500000
60,RL,105.0,13650,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,1671.0,GasA,Ex,Y,SBrkr,2250,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Ex,2002.0,3.0,Y,238,130,0,0,0,0,,,,0,6,2010,WD ,Normal,320000
120,RL,61.0,7658,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1752.0,GasA,Ex,Y,SBrkr,1752,1.0,0.0,2,0,2,1,Ex,6,Typ,1,Gd,2005.0,2.0,Y,196,82,0,0,0,0,,,,0,2,2010,WD ,Normal,319900
120,RL,41.0,7132,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1370.0,GasA,Ex,Y,SBrkr,1370,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,2006.0,2.0,Y,120,49,0,0,0,0,,,,0,4,2010,WD ,Normal,205000
160,RL,36.0,2628,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,Wd Shng,106.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,764.0,GasA,Ex,Y,SBrkr,1626,0.0,0.0,2,1,2,1,Gd,6,Typ,0,,2003.0,2.0,Y,0,27,0,0,0,0,,,,0,6,2010,WD ,Normal,175500
20,RL,100.0,18494,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1324.0,GasA,Ex,Y,SBrkr,1324,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,2005.0,2.0,Y,36,23,0,0,0,0,,,,0,1,2010,WD ,Normal,199500
120,RL,43.0,3203,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1145.0,GasA,Ex,Y,SBrkr,1145,0.0,0.0,2,0,2,1,Gd,6,Typ,0,,2006.0,2.0,Y,100,116,0,0,0,0,,,,0,1,2010,WD ,Normal,160000
120,RL,43.0,3182,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,16.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1256.0,GasA,Ex,Y,SBrkr,1269,0.0,0.0,2,0,2,1,Gd,6,Typ,1,TA,2004.0,2.0,Y,146,20,0,0,144,0,,,,0,4,2010,WD ,Normal,192000
80,RL,67.0,13300,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,384.0,GasA,Ex,Y,SBrkr,1374,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,2004.0,2.0,Y,100,0,0,0,0,0,,,,0,6,2010,WD ,Normal,184500
60,RL,64.0,7851,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,860.0,GasA,Ex,Y,SBrkr,1960,1.0,0.0,2,1,4,1,Gd,8,Typ,2,TA,2002.0,2.0,Y,288,48,0,0,0,0,,,,0,5,2010,WD ,Normal,216500
